# nof_control_points  dimension  delta_t  T_period
84  3  0.04  0.8  6
# control_point_x  control_point_y  control_point_z
-276.35      -307.298         -2.88
-83.946       -208.69         13.61
-50.803       -143.74        -23.89
243.18       -195.91       -138.31
138.96      -286.065          5.86
300.38       -44.854        115.94
134.69         60.73        -94.83
36.81        129.14       -101.08
56.616        426.73         -53.3
-330.019        435.64         70.06
-444.96       463.888        -12.67
-405.51     -45.08968        131.33
-233.71      -231.579          32.6
-157.266        -173.3        -52.62
47.843       -351.31        -16.96
234.37       -273.24         -1.77
480.79      -186.534        -38.74
455.42      -63.7616         20.81
237.94        198.21        126.21
27.87        186.54         89.58
20.534        360.48        210.43
-245.805        378.24         98.68
-317.72       198.449         298.1
-466.29      -15.7408        133.57
-202.91      -182.149        140.52
-74.631       -139.99         41.65
124.139        -61.81        208.39
67.05       -198.73        108.77
41.21       -57.474        189.65
183.35      -71.0335        189.19
183.12        95.165         146.2
108.22         141.2        163.26
103.184        198.67        244.05
-230.724        596.19        103.35
-560.59        501.96        -90.15
# control_point_x  control_point_y  control_point_z
-694.79         6.394        -95.74
-437.54        -175.6        -13.47
-105.86       -237.51         -3.38
-5.1048       -241.41         -0.03
-100          -100             0
0  0  0
-30.95      -12.3486       -110.05
21.9        62.83       -82.63
73.02        110.65       -111.01
28.0396        302.45       -266.51
-276.016        429.29       -201.31
-524.86       366.302       -101.58
-604.35        -0.019         13.48
-377.17       -233.68       -131.48
-160.156        -356.9        -15.36
-19.487       -298.63         20.65
117.39       -230.34         92.29
170.51        -44.46          17.3
98.83        30.473       -125.59
75.41        66.95       -61.41
26.34         147.8        -20.39
5.926        147.21        -36.52
-189.817        275.06          2.84
-408.7       303.359         20.51
-458.89       -6.0306         11.61
-315.87       -139.24          0.07
-87.19       -272.54        -14.62
-7.1042        -232.5           0.4
85.14       -188.36          5.82
120.3        -99.96         19.01
115.09         0.376          0.11
297.27         198.6         73.19
118.86        396.85       -197.38
-103.4801        378.53        181.07
-345.442         355.1        160.89
-375.15       273.557         18.69
-500.39      105.8716          4.25
-245.43        -137.1         77.59
-65.186       -57.04        47.72
-15.149       -19.21         13.5
-14.07       -98.44        10.84
161.67        -90.01         90.65
289.31      -39.4554         -1.81
274.78         159.8        -25.25
104.41        308.55         -1.59
-51.165        464.12        -45.28
-347.715         453.8         90.92
-458.67       415.257         -9.48
-505.16      107.6391          3.47
-260.28      -271.862        -17.14
-103.834       -199.43         -0.27
-22.586       -143.76        -50.41
155.29       -202.09        -41.46
139.79      -278.652          7.38
291.25       -51.513         110.8
135.61        133.43        -77.26
101.72        146.47          5.37
12.619        436.71        -30.28
-280.433        406.17        -10.24
-448.62       442.401        -41.84
-405.72       7.72122        122.43
-246.62      -256.548         37.37
-138.386       -263.98        -48.56
45.147       -249.29        -14.67
217       -295.98         -7.84
388.33      -188.534         -4.25
311.31      -92.6344         47.09
206.98        175.98         90.06
23.46        208.99         63.69
16.768        375.34        103.07
-206.145        359.91         37.38
-346.27       237.661        243.51
-477.81       33.3605        109.51
-206.75      -171.208        143.93
-64.052       -158.32         69.48
86.622          1.29        138.42
75.81       -163.53         89.78
-0.01       -94.077        119.16
95.47       -2.3443        138.77
109.62        29.231        142.73
109.86         99.77        157.64
43.745        194.61        217.74
-229.624        520.82        116.55
-551.05       464.767         27.48
# control_point_x  control_point_y  control_point_z
-488.71         2.378         -98.3
-323.81       -153.34         -10.5
-46.29       -258.67         73.23
0.4526       -253.61          2.48
0          -100             0
0  0  0
72.57       -6.127        -3.21
150.81       159.995        -52.97
108.77        202.82          -129
33.6071        403.61       -258.22
-271.956        411.03       -195.25
-367.64       338.215        -64.54
-402.45         0.586         14.19
-319.1       -198.46        -51.32
-131.52       -329.64        -45.88
-1.284       -307.77           3.1
172.24       -314.57         11.35
174.15       -148.14        -25.18
209.18        33.628        -10.01
124.03       119.923        -66.42
69.31        228.58         19.31
24.063        296.06        -22.85
-204.447        236.54         18.27
-267.36       241.176          17.6
-484.4         7.844        -34.33
-317.16       -135.61          2.89
-203.67       -292.24          2.26
-1.9752       -388.19          0.25
117.79       -197.25         -7.86
138.82       -106.62         18.61
202.78        12.596          3.72
311.93        200.49         -2.29
132.68        523.88       -123.48
-74.1081        426.55        226.24
-311.916        371.63        175.69
-343.58       278.151         62.94
-313.21      129.3042          12.2
-139.02       -101.49          5.07
-58.123       -60.68        79.14
-21.224        -128.3         18.26
4.43       -103.99          3.36
209.22       -138.69         45.15
329.1      -30.5834          8.97
344.95        251.71        -13.42
222.13         459.8         -91.4
-155.936        500.39        -47.87
-299.85        427.77         16.05
-363.16       314.482         -2.72
-410.98      107.4853          7.36
-276.07      -212.328            -2
-77.959       -232.82         63.12
-17.645       -223.87         52.69
142.61       -226.15        -49.26
246.61      -194.482         -9.73
356.38        6.7428        105.38
193.39        204.17         -5.63
102.26        238.26          4.98
-44.051        438.16         77.71
-205.796        398.52          1.71
-387.42       387.481         -7.71
-368.17      31.67572        129.96
-232.73      -237.463         38.78
-138.01       -267.03        -48.61
30.746       -261.77         -8.54
129.83       -270.87         -5.61
309.07      -198.213          1.43
399.11      -52.5833        -14.63
265.37       235.377          51.2
123.13        265.27         92.16
-73.218        458.53         97.89
-238.94        471.02         99.54
-323.33       273.901        227.21
-452.64       -10.473        109.31
-190.32      -189.284        129.51
-37.42       -204.04        147.56
16.305        -78.31        105.31
95.23       -142.17         62.77
-1.98       -86.553        116.14
120.68       18.8563        136.27
110.5        29.925        162.98
96.41        125.25        208.04
39.508        197.66         78.58
-243.62        357.53        -83.88
-360.59        301.96        -90.15
# control_point_x  control_point_y  control_point_z
-490.53         1.064        -98.74
-223.4       -105.56        -27.59
-127.94       -168.48        -18.66
-0.3838       -282.83         -1.75
0          -100             0
100            0            0
124.86      -32.3733         -8.94
198.79       224.091          1.57
129.19        354.83         -4.12
-11.003        558.05       -202.84
-330.438         493.4       -210.07
-347.97       287.696       -196.65
-403.81         0.258         13.59
-221.19       -121.37        -33.76
-134.02       -250.67        -15.31
-24.887       -240.64         23.47
83.72       -230.27          8.45
220.52           -91         60.66
292.79        68.583         -10.1
221.94       209.599        -60.11
198.38        372.97         -9.25
22.6        446.07         -7.92
-186.127        371.47          4.03
-230.51       217.473         32.17
-251.81        -0.386         18.09
-238.6       -143.75         42.06
-139.77       -302.16         41.08
-1.0206       -298.99          2.66
126.21       -221.61         91.25
227.22       -104.11         17.87
302.76        27.146          3.78
412.42       304.036        -21.47
198.69        580.97        -82.42
